DateTime,OutdoorTemp,OutdoorRH,Wind_Speed,Wind_Dir,pressure,Rain_Rate1h,PC0_1_mean,PC0_1_median,PC0_1_max,PC0_1_min,PC0_1_75th,PC0_1_90th,PC0_1_95th,PC0_1_std,PC0_1_skew,PC0_1_kurt,PM2_5_mean,PM2_5_median,PM2_5_max,PM2_5_min,PM2_5_75th,PM2_5_90th,PM2_5_95th,PM2_5_std,PM2_5_skew,PM2_5_kurt
10/10/2025 10:00:00,27.7,81.5,3.2,SSW,1010.4,0.0,39622.78888888889,39552.0,43427.0,36093.0,40767.75,41632.5,42246.15,1673.2415759905412,0.0917209024295864,-0.4751968513202058,1.814859655703704,1.80976095,2.58821327,1.22434656,1.9777021525,2.209574363,2.275375302,0.2830800930936367,0.2450230325849747,-0.0371799940432691
10/10/2025 10:05:00,27.7,81.5,0.0,---,1009.1,0.0,38525.61475409836,38620.0,41204.0,35719.0,39482.25,40419.2,40906.35,1346.7589654637995,-0.0757149080715863,-0.5640182593477037,1.6240441592622952,1.651880605,2.05823866,1.15947507,1.817497765,1.90079418,1.946767497,0.2296778682185449,-0.2193922637559147,-1.0115529641721253
10/10/2025 10:10:00,27.8,81.2,0.0,---,1009.0,0.0,36842.28518518519,36302.0,41259.0,33610.0,38611.25,39911.6,40294.6,2103.150901363505,0.315621520686821,-1.0974126215320346,1.567533365185185,1.53718429,2.25230838,1.04699896,1.7782986,2.080857862,2.126768585,0.3109042045400462,0.4684201176796518,-0.788445682142382
10/10/2025 10:15:00,27.8,81.3,0.0,---,1009.0,0.0,38158.808,38167.5,41829.0,34112.0,39645.75,40941.7,41378.85,2039.3719845830071,-0.0126323805536346,-0.9895207712189068,1.67152995208,1.62810772,2.36765378,1.14714608,1.9819616675,2.091913482,2.1943647465,0.3267149688786365,0.2075498039111301,-1.248485211719053
10/10/2025 10:20:00,27.9,80.5,0.0,---,1008.9,0.0,37960.90513833992,38265.0,42487.0,33461.0,39511.0,41161.2,41857.0,2414.6732679527363,-0.1859115964668212,-0.8281733995224632,1.649625881818182,1.65701713,2.45907259,1.10353751,1.81199795,2.1083448820000004,2.350987216,0.3335965030943966,0.484106280732465,-0.0741784974297532
10/10/2025 10:25:00,28.0,80.0,0.0,---,1009.0,0.0,37672.899613899615,37739.0,39899.0,35257.0,38358.0,39045.8,39333.0,1048.8896554277828,-0.2263038033580674,-0.4513585204783292,1.725866391042471,1.75838324,2.27268112,0.0,1.92376654,2.003800074,2.083331326,0.2663628807676116,-1.1545152728305512,5.56560636600098
10/10/2025 10:30:00,28.1,79.0,3.2,S,1010.2,0.0,38976.01581027668,38438.0,43646.0,36261.0,40404.0,41850.6,42444.4,1831.1174161731176,0.707935857780138,-0.5169982098647012,1.7349149342687746,1.72567807,2.55961263,1.03617351,1.86323526,2.134533638,2.2350001239999986,0.2844485076771033,0.376594891666494,0.6113297487291405
10/10/2025 10:35:00,28.2,80.0,1.6,NW,1010.2,0.0,38253.84765625,37985.5,42137.0,35082.0,39910.0,41045.0,41518.75,1964.436037474322,0.2429595514778985,-1.1399266883896797,1.6881045275,1.655344225,2.48563195,0.96809718,1.8797339675,2.1484715650000004,2.34820968,0.3336490022591567,0.294536170661539,-0.0326220037660718
10/10/2025 10:40:00,28.3,79.1,0.0,---,1009.0,0.0,39229.798449612405,38268.5,43999.0,35752.0,42537.0,43521.7,43836.25,2862.947983750816,0.4343504246490695,-1.336517854028271,1.7386010190697674,1.70574207,2.49684223,1.03187534,1.945839075,2.172933802,2.3523104335,0.3262139381208628,0.1529563190286303,-0.3393372973930679
10/10/2025 10:45:00,28.3,78.9,0.0,---,1008.9,0.0,38639.86770428016,39046.0,41203.0,35323.0,39699.0,40535.8,40868.4,1527.278366569749,-0.4822407945183879,-0.6661139913372165,1.732053122762646,1.71907323,2.54810808,0.0,1.89970732,2.064284594,2.284857922,0.299595002104798,-0.9416679834259678,7.990639307720459
